ref,line_index
Noam Yerushalmi on Sotah 1:1:8:1,5
Noam Yerushalmi on Sotah 1:1:9:1,7
Noam Yerushalmi on Sotah 1:1:9:2,8
Noam Yerushalmi on Sotah 1:1:9:3,9
Noam Yerushalmi on Sotah 1:1:9:4,10
Noam Yerushalmi on Sotah 1:1:9:5,11
Noam Yerushalmi on Sotah 1:1:9:6,12
Noam Yerushalmi on Sotah 1:1:9:7,13
Noam Yerushalmi on Sotah 1:1:9:8,14
Noam Yerushalmi on Sotah 1:1:9:9,15
Noam Yerushalmi on Sotah 1:1:9:10,16
Noam Yerushalmi on Sotah 1:1:9:11,17
Noam Yerushalmi on Sotah 1:1:10:1,19
Noam Yerushalmi on Sotah 1:2:10:1,22
Noam Yerushalmi on Sotah 2:1:3:1,26
Noam Yerushalmi on Sotah 2:1:3:2,27
Noam Yerushalmi on Sotah 2:5:5:1,30
Noam Yerushalmi on Sotah 2:5:7:1,32
Noam Yerushalmi on Sotah 2:5:7:2,33
Noam Yerushalmi on Sotah 2:5:7:3,34
Noam Yerushalmi on Sotah 2:5:7:4,35
Noam Yerushalmi on Sotah 3:4:11:1,39
Noam Yerushalmi on Sotah 3:5:3:1,42
Noam Yerushalmi on Sotah 3:5:3:2,43
Noam Yerushalmi on Sotah 3:5:3:3,44
Noam Yerushalmi on Sotah 3:6:4:1,47
Noam Yerushalmi on Sotah 3:6:4:2,48
Noam Yerushalmi on Sotah 3:6:4:3,49
Noam Yerushalmi on Sotah 3:6:4:4,50
Noam Yerushalmi on Sotah 3:6:4:5,51
Noam Yerushalmi on Sotah 3:6:5:1,53
Noam Yerushalmi on Sotah 3:7:4:1,56
Noam Yerushalmi on Sotah 3:7:4:2,57
Noam Yerushalmi on Sotah 3:7:4:3,58
Noam Yerushalmi on Sotah 3:8:7:1,61
Noam Yerushalmi on Sotah 4:1:3:1,65
Noam Yerushalmi on Sotah 4:1:4:1,67
Noam Yerushalmi on Sotah 4:1:4:2,68
Noam Yerushalmi on Sotah 4:4:2:1,71
Noam Yerushalmi on Sotah 4:4:2:2,72
Noam Yerushalmi on Sotah 4:4:2:3,73
Noam Yerushalmi on Sotah 4:4:2:4,74
Noam Yerushalmi on Sotah 4:4:2:5,75
Noam Yerushalmi on Sotah 4:4:2:6,76
Noam Yerushalmi on Sotah 4:4:2:7,77
Noam Yerushalmi on Sotah 5:1:2:1,81
Noam Yerushalmi on Sotah 5:1:2:2,82
Noam Yerushalmi on Sotah 5:2:4:1,85
Noam Yerushalmi on Sotah 5:2:4:2,86
Noam Yerushalmi on Sotah 5:2:4:3,87
Noam Yerushalmi on Sotah 5:2:4:4,88
Noam Yerushalmi on Sotah 5:2:4:5,89
Noam Yerushalmi on Sotah 5:2:5:1,91
Noam Yerushalmi on Sotah 5:2:5:2,92
Noam Yerushalmi on Sotah 5:2:5:3,93
Noam Yerushalmi on Sotah 5:2:5:4,94
Noam Yerushalmi on Sotah 5:2:11:1,96
Noam Yerushalmi on Sotah 6:1:2:1,100
Noam Yerushalmi on Sotah 6:1:2:2,101
Noam Yerushalmi on Sotah 6:1:2:3,102
Noam Yerushalmi on Sotah 6:1:2:4,103
Noam Yerushalmi on Sotah 6:1:2:5,104
Noam Yerushalmi on Sotah 6:1:2:6,105
Noam Yerushalmi on Sotah 6:1:2:7,106
Noam Yerushalmi on Sotah 6:1:2:8,107
Noam Yerushalmi on Sotah 6:2:3:1,110
Noam Yerushalmi on Sotah 6:2:4:1,112
Noam Yerushalmi on Sotah 6:2:4:2,113
Noam Yerushalmi on Sotah 6:2:5:1,115
Noam Yerushalmi on Sotah 6:4:2:1,118
Noam Yerushalmi on Sotah 6:4:2:2,119
Noam Yerushalmi on Sotah 6:4:2:3,120
Noam Yerushalmi on Sotah 6:4:4:1,122
Noam Yerushalmi on Sotah 6:4:4:2,123
Noam Yerushalmi on Sotah 6:4:4:3,124
Noam Yerushalmi on Sotah 6:4:4:4,125
Noam Yerushalmi on Sotah 6:4:4:5,126
Noam Yerushalmi on Sotah 6:4:4:6,127
Noam Yerushalmi on Sotah 6:4:4:7,128
Noam Yerushalmi on Sotah 6:4:4:8,129
Noam Yerushalmi on Sotah 7:1:5:1,133
Noam Yerushalmi on Sotah 8:5:4:1,137
Noam Yerushalmi on Sotah 8:5:4:2,138
Noam Yerushalmi on Sotah 8:5:4:3,139
Noam Yerushalmi on Sotah 8:5:5:1,141
Noam Yerushalmi on Sotah 9:2:3:1,145
Noam Yerushalmi on Sotah 9:5:5:1,148
Noam Yerushalmi on Sotah 9:5:5:2,149
Noam Yerushalmi on Sotah 9:5:5:3,150
Noam Yerushalmi on Sotah 9:5:5:4,151
Noam Yerushalmi on Sotah 9:5:6:1,153
Noam Yerushalmi on Sotah 9:5:8:1,155
Noam Yerushalmi on Sotah 9:6:5:1,158
Noam Yerushalmi on Sotah 9:6:5:2,159
Noam Yerushalmi on Sotah 9:11:1:1,162
