ref,line_index
Noam Yerushalmi on Kiddushin 1:1:32:1,5
Noam Yerushalmi on Kiddushin 1:2:2:1,8
Noam Yerushalmi on Kiddushin 1:2:4:1,10
Noam Yerushalmi on Kiddushin 1:2:4:2,11
Noam Yerushalmi on Kiddushin 1:2:4:3,12
Noam Yerushalmi on Kiddushin 1:2:4:4,13
Noam Yerushalmi on Kiddushin 1:2:4:5,14
Noam Yerushalmi on Kiddushin 1:2:4:6,15
Noam Yerushalmi on Kiddushin 1:2:4:7,16
Noam Yerushalmi on Kiddushin 1:2:4:8,17
Noam Yerushalmi on Kiddushin 1:2:4:9,18
Noam Yerushalmi on Kiddushin 1:2:4:10,19
Noam Yerushalmi on Kiddushin 1:2:4:11,20
Noam Yerushalmi on Kiddushin 1:2:4:12,21
Noam Yerushalmi on Kiddushin 1:2:10:1,23
Noam Yerushalmi on Kiddushin 1:2:10:2,24
Noam Yerushalmi on Kiddushin 1:2:14:1,26
Noam Yerushalmi on Kiddushin 1:2:15:1,28
Noam Yerushalmi on Kiddushin 1:2:16:1,30
Noam Yerushalmi on Kiddushin 1:2:16:2,31
Noam Yerushalmi on Kiddushin 1:2:16:3,32
Noam Yerushalmi on Kiddushin 1:2:17:1,34
Noam Yerushalmi on Kiddushin 1:2:17:2,35
Noam Yerushalmi on Kiddushin 1:2:18:1,37
Noam Yerushalmi on Kiddushin 1:2:24:1,39
Noam Yerushalmi on Kiddushin 1:2:24:2,40
Noam Yerushalmi on Kiddushin 1:2:24:3,41
Noam Yerushalmi on Kiddushin 1:2:24:4,42
Noam Yerushalmi on Kiddushin 1:2:24:5,43
Noam Yerushalmi on Kiddushin 1:2:24:6,44
Noam Yerushalmi on Kiddushin 1:2:27:1,46
Noam Yerushalmi on Kiddushin 1:2:27:2,47
Noam Yerushalmi on Kiddushin 1:2:27:3,48
Noam Yerushalmi on Kiddushin 1:3:7:1,51
Noam Yerushalmi on Kiddushin 1:3:8:1,53
Noam Yerushalmi on Kiddushin 1:3:8:2,54
Noam Yerushalmi on Kiddushin 1:3:8:3,55
Noam Yerushalmi on Kiddushin 1:3:8:4,56
Noam Yerushalmi on Kiddushin 1:3:13:1,58
Noam Yerushalmi on Kiddushin 1:3:13:2,59
Noam Yerushalmi on Kiddushin 1:3:13:3,60
Noam Yerushalmi on Kiddushin 1:3:13:4,61
Noam Yerushalmi on Kiddushin 1:3:13:5,62
Noam Yerushalmi on Kiddushin 1:3:13:6,63
Noam Yerushalmi on Kiddushin 1:3:13:7,64
Noam Yerushalmi on Kiddushin 1:3:14:1,66
Noam Yerushalmi on Kiddushin 1:3:14:2,67
Noam Yerushalmi on Kiddushin 1:3:14:3,68
Noam Yerushalmi on Kiddushin 1:3:14:4,69
Noam Yerushalmi on Kiddushin 1:3:14:5,70
Noam Yerushalmi on Kiddushin 1:3:14:6,71
Noam Yerushalmi on Kiddushin 1:3:14:7,72
Noam Yerushalmi on Kiddushin 1:4:7:1,75
Noam Yerushalmi on Kiddushin 1:4:11:1,77
Noam Yerushalmi on Kiddushin 1:5:8:1,80
Noam Yerushalmi on Kiddushin 1:5:8:2,81
Noam Yerushalmi on Kiddushin 1:5:8:3,82
Noam Yerushalmi on Kiddushin 1:6:3:1,85
Noam Yerushalmi on Kiddushin 1:6:3:2,86
Noam Yerushalmi on Kiddushin 1:6:4:1,88
Noam Yerushalmi on Kiddushin 1:6:4:2,89
Noam Yerushalmi on Kiddushin 1:6:4:3,90
Noam Yerushalmi on Kiddushin 1:7:19:1,93
Noam Yerushalmi on Kiddushin 2:1:2:1,97
Noam Yerushalmi on Kiddushin 2:1:3:1,99
Noam Yerushalmi on Kiddushin 2:1:3:2,100
Noam Yerushalmi on Kiddushin 2:1:3:3,101
Noam Yerushalmi on Kiddushin 2:1:4:1,103
Noam Yerushalmi on Kiddushin 2:1:4:2,104
Noam Yerushalmi on Kiddushin 2:1:4:3,105
Noam Yerushalmi on Kiddushin 2:1:4:4,106
Noam Yerushalmi on Kiddushin 2:1:5:1,108
Noam Yerushalmi on Kiddushin 2:1:5:2,109
Noam Yerushalmi on Kiddushin 2:1:5:3,110
Noam Yerushalmi on Kiddushin 2:1:5:4,111
Noam Yerushalmi on Kiddushin 2:1:9:1,113
Noam Yerushalmi on Kiddushin 2:1:10:1,115
Noam Yerushalmi on Kiddushin 2:1:10:2,116
Noam Yerushalmi on Kiddushin 2:1:10:3,117
Noam Yerushalmi on Kiddushin 2:1:10:4,118
Noam Yerushalmi on Kiddushin 2:1:10:5,119
Noam Yerushalmi on Kiddushin 2:1:10:6,120
Noam Yerushalmi on Kiddushin 2:1:10:7,121
Noam Yerushalmi on Kiddushin 2:1:10:8,122
Noam Yerushalmi on Kiddushin 2:1:10:9,123
Noam Yerushalmi on Kiddushin 2:1:10:10,124
Noam Yerushalmi on Kiddushin 2:1:11:1,126
Noam Yerushalmi on Kiddushin 2:1:11:2,127
Noam Yerushalmi on Kiddushin 2:1:11:3,128
Noam Yerushalmi on Kiddushin 2:1:17:1,130
Noam Yerushalmi on Kiddushin 2:1:17:2,131
Noam Yerushalmi on Kiddushin 2:1:18:1,133
Noam Yerushalmi on Kiddushin 2:5:2:1,136
Noam Yerushalmi on Kiddushin 2:6:3:1,139
Noam Yerushalmi on Kiddushin 2:7:2:1,142
Noam Yerushalmi on Kiddushin 2:7:2:2,143
Noam Yerushalmi on Kiddushin 2:7:2:3,144
Noam Yerushalmi on Kiddushin 2:7:2:4,145
Noam Yerushalmi on Kiddushin 2:7:2:5,146
Noam Yerushalmi on Kiddushin 2:7:4:1,148
Noam Yerushalmi on Kiddushin 2:7:8:1,150
Noam Yerushalmi on Kiddushin 2:7:8:2,151
Noam Yerushalmi on Kiddushin 2:7:8:3,152
Noam Yerushalmi on Kiddushin 2:7:8:4,153
Noam Yerushalmi on Kiddushin 2:7:8:5,154
Noam Yerushalmi on Kiddushin 2:7:8:6,155
Noam Yerushalmi on Kiddushin 2:7:8:7,156
Noam Yerushalmi on Kiddushin 2:7:8:8,157
Noam Yerushalmi on Kiddushin 2:7:8:9,158
Noam Yerushalmi on Kiddushin 2:8:2:1,161
Noam Yerushalmi on Kiddushin 2:8:4:1,163
Noam Yerushalmi on Kiddushin 3:1:4:1,167
Noam Yerushalmi on Kiddushin 3:1:4:2,168
Noam Yerushalmi on Kiddushin 3:1:4:3,169
Noam Yerushalmi on Kiddushin 3:1:4:4,170
Noam Yerushalmi on Kiddushin 3:1:4:5,171
Noam Yerushalmi on Kiddushin 3:1:7:1,173
Noam Yerushalmi on Kiddushin 3:1:7:2,174
Noam Yerushalmi on Kiddushin 3:1:7:3,175
Noam Yerushalmi on Kiddushin 3:1:7:4,176
Noam Yerushalmi on Kiddushin 3:1:10:1,178
Noam Yerushalmi on Kiddushin 3:1:10:2,179
Noam Yerushalmi on Kiddushin 3:1:10:3,180
Noam Yerushalmi on Kiddushin 3:1:10:4,181
Noam Yerushalmi on Kiddushin 3:1:10:5,182
Noam Yerushalmi on Kiddushin 3:1:12:1,184
Noam Yerushalmi on Kiddushin 3:2:2:1,187
Noam Yerushalmi on Kiddushin 3:2:3:1,189
Noam Yerushalmi on Kiddushin 3:2:4:1,191
Noam Yerushalmi on Kiddushin 3:2:7:1,193
Noam Yerushalmi on Kiddushin 3:3:3:1,196
