ref,line_index
Sirilio on Jerusalem Talmud Bikkurim 1:1:1:1,5
Sirilio on Jerusalem Talmud Bikkurim 1:1:1:2,6
Sirilio on Jerusalem Talmud Bikkurim 1:1:1:3,7
Sirilio on Jerusalem Talmud Bikkurim 1:1:1:4,8
Sirilio on Jerusalem Talmud Bikkurim 1:1:1:5,9
Sirilio on Jerusalem Talmud Bikkurim 1:1:1:6,10
Sirilio on Jerusalem Talmud Bikkurim 1:1:1:7,11
Sirilio on Jerusalem Talmud Bikkurim 1:1:2:1,13
Sirilio on Jerusalem Talmud Bikkurim 1:1:2:2,14
Sirilio on Jerusalem Talmud Bikkurim 1:1:3:1,16
Sirilio on Jerusalem Talmud Bikkurim 1:1:4:1,18
Sirilio on Jerusalem Talmud Bikkurim 1:1:4:2,19
Sirilio on Jerusalem Talmud Bikkurim 1:1:4:3,20
Sirilio on Jerusalem Talmud Bikkurim 1:1:4:4,21
Sirilio on Jerusalem Talmud Bikkurim 1:1:4:5,22
Sirilio on Jerusalem Talmud Bikkurim 1:1:4:6,23
Sirilio on Jerusalem Talmud Bikkurim 1:1:5:1,25
Sirilio on Jerusalem Talmud Bikkurim 1:1:6:1,27
Sirilio on Jerusalem Talmud Bikkurim 1:1:6:2,28
Sirilio on Jerusalem Talmud Bikkurim 1:1:6:3,29
Sirilio on Jerusalem Talmud Bikkurim 1:1:6:4,30
Sirilio on Jerusalem Talmud Bikkurim 1:1:6:5,31
Sirilio on Jerusalem Talmud Bikkurim 1:1:7:1,33
Sirilio on Jerusalem Talmud Bikkurim 1:1:7:2,34
Sirilio on Jerusalem Talmud Bikkurim 1:1:7:3,35
Sirilio on Jerusalem Talmud Bikkurim 1:1:7:4,36
Sirilio on Jerusalem Talmud Bikkurim 1:1:7:5,37
Sirilio on Jerusalem Talmud Bikkurim 1:1:7:6,38
Sirilio on Jerusalem Talmud Bikkurim 1:2:1:1,41
Sirilio on Jerusalem Talmud Bikkurim 1:2:1:2,42
Sirilio on Jerusalem Talmud Bikkurim 1:2:1:3,43
Sirilio on Jerusalem Talmud Bikkurim 1:2:1:4,44
Sirilio on Jerusalem Talmud Bikkurim 1:2:2:1,46
Sirilio on Jerusalem Talmud Bikkurim 1:2:2:2,47
Sirilio on Jerusalem Talmud Bikkurim 1:2:2:3,48
Sirilio on Jerusalem Talmud Bikkurim 1:2:2:4,49
Sirilio on Jerusalem Talmud Bikkurim 1:2:2:5,50
Sirilio on Jerusalem Talmud Bikkurim 1:2:2:6,51
Sirilio on Jerusalem Talmud Bikkurim 1:2:2:7,52
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:1,54
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:2,55
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:3,56
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:4,57
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:5,58
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:6,59
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:7,60
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:8,61
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:9,62
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:10,63
Sirilio on Jerusalem Talmud Bikkurim 1:2:3:11,64
Sirilio on Jerusalem Talmud Bikkurim 1:3:1:1,67
Sirilio on Jerusalem Talmud Bikkurim 1:3:1:2,68
Sirilio on Jerusalem Talmud Bikkurim 1:3:1:3,69
Sirilio on Jerusalem Talmud Bikkurim 1:3:1:4,70
Sirilio on Jerusalem Talmud Bikkurim 1:3:2:1,72
Sirilio on Jerusalem Talmud Bikkurim 1:3:4:1,74
Sirilio on Jerusalem Talmud Bikkurim 1:3:4:2,75
