ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:1:4:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:2:2:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:2:3:1,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:3:6:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:3:6:2,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:3:6:3,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:4:2:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:4:3:1,28
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:4:3:2,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:5:3:1,34
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:5:4:1,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:6:5:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:7:5:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:8:2:1,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 1:9:3:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:1:8:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:1:9:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:1:14:1,64
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:1:14:2,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:1:15:1,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:2:2:1,73
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:2:8:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 2:2:11:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:3:8:1,84
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:3:11:1,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:3:11:2,89
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:3:13:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:3:20:1,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:3:20:2,97
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:4:7:1,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bikkurim 3:4:10:1,104
