ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:5:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:14:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:15:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:17:1,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:18:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:20:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:22:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:24:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:1:26:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:3:2:1,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:3:4:1,40
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:3:6:1,43
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:3:9:1,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:3:12:1,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:3:13:1,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:4:1:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:4:6:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:4:8:1,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:5:3:1,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 1:6:3:1,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:3:1,75
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:4:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:5:1,81
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:5:2,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:8:1,86
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:8:2,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:11:1,91
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:17:1,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:1:18:1,97
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:2:2:1,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:2:4:1,104
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:3:2:1,108
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:3:3:1,111
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:3:3:2,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:3:4:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Challah 2:3:6:1,119
