ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:1:5:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:1:5:2,8
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:1:5:3,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:1:7:1,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:2:6:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:2:7:1,20
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:2:11:1,23
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:3:2:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:3:3:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:3:5:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:4:2:1,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:4:6:1,40
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:4:10:1,43
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 1:5:4:1,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:1:2:1,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:1:3:1,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:2:3:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:2:4:1,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:3:2:1,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:3:3:1,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:3:8:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:4:6:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 2:4:13:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:1:7:1,84
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:1:10:1,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:1:12:1,90
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:2:4:1,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:4:4:1,98
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:4:6:1,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:4:7:1,104
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:4:8:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:4:10:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 3:4:14:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:1:3:1,118
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:1:5:1,121
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:2:2:1,125
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:2:4:1,128
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:3:2:1,132
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:4:2:1,136
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:4:4:1,139
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:4:5:1,142
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:4:6:1,145
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:4:6:2,147
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:4:6:3,149
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 4:4:8:1,152
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:1:2:1,157
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:1:3:1,160
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:2:5:1,164
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:2:5:2,166
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:2:7:1,169
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:3:2:1,173
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:3:4:1,176
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:3:5:1,179
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Maasrot 5:3:6:1,182
