ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:1:7:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:1:14:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:1:15:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:1:15:2,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:1:18:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:1:20:1,20
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:2:2:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:2:9:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:2:10:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:3:3:1,34
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:3:7:1,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:3:12:1,40
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:4:5:1,44
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:5:7:1,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 1:5:8:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:1:4:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:1:5:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:1:11:1,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:1:12:1,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:1:17:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:1:19:1,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:1:21:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:2:2:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:3:2:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:3:3:1,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:3:7:1,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:3:7:2,90
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:4:2:1,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:4:3:1,97
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:4:4:1,100
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:5:3:1,104
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:5:7:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:5:8:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:6:2:1,114
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:6:2:2,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:6:3:1,119
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:6:3:2,121
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:6:4:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:7:4:1,128
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:8:3:1,132
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 2:9:3:1,136
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:1:4:1,141
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:1:10:1,144
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:1:11:1,147
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:1:12:1,150
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:1:14:1,153
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:1:17:1,156
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:2:3:1,160
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:2:3:2,162
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:2:5:1,165
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:3:2:1,169
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:5:3:1,173
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:6:2:1,177
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:7:5:1,181
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Orlah 3:7:8:1,184
