ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:2:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:4:2:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:5:4:1,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:5:5:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:6:3:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:6:4:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:1:2:1,29
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:1:2:2,31
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:2:7:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:3:2:1,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:3:1,43
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:4:1,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:8:1,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:9:1,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:3:3:1,57
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:4:5:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:4:6:1,64
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:7:3:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:7:4:1,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:2:2:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:2:5:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:2:9:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:3:2:1,86
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:4:2:1,90
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:4:3:1,93
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:2:1,97
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:5:1,100
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:5:2,102
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:6:1,105
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:7:1:1,109
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:7:2:1,112
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:8:2:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:8:4:1,119
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:1:4:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:1:5:1,127
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:2:4:1,131
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:2:6:1,134
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:2:9:1,137
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:2:10:1,140
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:3:3:1,144
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:3:5:1,147
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:4:2:1,151
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:4:6:1,154
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:1:1,159
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:5:1,162
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:6:1,165
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:7:1,168
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:10:1,171
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:11:1,174
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:13:1,177
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:13:2,179
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:14:1,182
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:15:1,185
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:16:1,188
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:1:18:1,191
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:2:4:1,195
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:2:4:2,197
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:3:5:1,201
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:4:3:1,205
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:4:3:2,207
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 6:4:4:1,210
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:2:1,215
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:2:2,217
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:3:1,220
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:9:1,223
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:11:1,226
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:12:1,229
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:13:1,232
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:16:1,235
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:1:17:1,238
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 7:2:2:1,242
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:1:1:1,247
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:1:5:1,250
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:2:2:1,254
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:2:5:1,257
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:2:6:1,260
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:3:5:1,264
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:4:3:1,268
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:4:3:2,270
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 8:4:5:1,273
