ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:4:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:9:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:9:2,11
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:9:3,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:10:1,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:11:1,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:11:2,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:12:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:12:2,26
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:13:1,29
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:15:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:15:2,34
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:15:3,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:17:1,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:20:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:21:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:22:1,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:22:2,50
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:23:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:23:2,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:1:23:3,57
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:2:3:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:2:4:1,64
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:3:2:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:4:2:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:4:3:1,75
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:4:4:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:5:3:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:5:4:1,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:5:7:1,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 1:5:9:1,91
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:3:1,96
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:4:1,99
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:4:2,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:9:1,104
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:12:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:13:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:14:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:21:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:21:2,118
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:1:21:3,120
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:2:5:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:3:2:1,128
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:3:2:2,130
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Terumot 2:3:4:1,133
