ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:3:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:5:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:8:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:8:2,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:9:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:11:1,20
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:3:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:3:2,26
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:5:1,29
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:5:2,31
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:4:2:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:4:2:2,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:5:2:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:6:3:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:7:2:1,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:7:2:2,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:7:3:1,54
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:8:3:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:1,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:2,64
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:3,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:4,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:5,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:10:5:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:1:2:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:1:4:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:1:6:1,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:4:2:1,89
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:4:3:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:4:4:1,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:5:3:1,99
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:5:4:1,102
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:6:2:1,106
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:7:2:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:8:2:1,114
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:1:3:1,119
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:2:4:1,123
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:2:5:1,126
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:3:2:1,130
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:4:2:1,134
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:4:3:1,137
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:5:2:1,141
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:5:2:2,143
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:6:6:1,147
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:8:2:1,151
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:1:2:1,156
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:1:3:1,159
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:2:2:1,163
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:2:1,167
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:5:1,170
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:8:1,173
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:11:1,176
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:4:4:1,180
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:4:4:2,182
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:4:4:3,184
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:5:2:1,188
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:5:3:1,191
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:5:5:1,194
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:6:2:1,198
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:7:3:1,202
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:2:1,207
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:6:1,210
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:7:1,213
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:7:2,215
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:4:1,219
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:5:1,222
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:6:1,225
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:6:2,227
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:6:3,229
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:10:1,232
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:10:2,234
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:11:1,237
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:12:1,240
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:4:2:1,244
