ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:1:7:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:1:10:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:1:10:2,11
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:1:10:3,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:1:12:1,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:1:17:1,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:2:2:1,23
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:3:3:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:3:4:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:4:4:1,34
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:5:2:1,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:6:3:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:6:3:2,44
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:7:2:1,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:7:4:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:8:2:1,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:8:3:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 1:8:6:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:1:3:1,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:1:5:1,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:1:11:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:1:13:1,75
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:1:16:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:2:3:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:2:11:1,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:2:12:1,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:3:2:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:3:6:1,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:4:2:1,99
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:4:5:1,102
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:4:9:1,105
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:4:9:2,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:4:10:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:4:11:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:6:2:1,117
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:7:5:1,121
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 2:7:6:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:1:8:1,129
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:1:9:1,132
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:1:11:1,135
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:1:11:2,137
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:1:12:1,140
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:1:12:2,142
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:2:3:1,146
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:2:4:1,149
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:3:2:1,153
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:3:3:1,156
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:3:7:1,159
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:3:9:1,162
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:3:11:1,165
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:3:11:2,167
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:4:4:1,171
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:7:3:1,175
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:8:2:1,179
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 3:8:4:1,182
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:1:4:1,187
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:1:8:1,190
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:1:12:1,193
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:1:12:2,195
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:2:2:1,199
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:3:2:1,203
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:4:3:1,207
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:4:4:1,210
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:5:2:1,214
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:8:3:1,218
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:9:2:1,222
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:9:5:1,225
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 4:9:7:1,228
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:1:3:1,233
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:1:4:1,236
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:1:6:1,239
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:1:6:2,241
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:1:7:1,244
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:1:9:1,247
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:2:4:1,251
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Pesachim 5:2:6:1,254
