ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:3:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:7:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:7:2,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:8:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:9:1,20
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:10:1,23
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:13:1,26
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:14:1,29
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:16:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:16:2,34
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:20:1,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:20:2,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:21:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:1:24:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:2:2:1,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:2:6:1,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:2:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:3:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:3:2,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:5:1,64
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:7:1,67
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:8:1,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:9:1,73
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:3:10:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:4:2:1,80
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:4:4:1,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:4:5:1,86
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:4:6:1,89
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:4:7:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:4:7:2,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shabbat 1:4:8:1,97
