ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:1:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:1:2:2,8
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:3:3:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:4:2:1,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:5:3:1,20
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:5:4:1,23
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:5:5:1,26
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:1:2:1,31
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:1:4:1,34
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:2:2:1,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:3:5:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:5:2:1,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:6:2:1,50
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:8:2:1,54
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:10:2:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:11:2:1,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:2:1,67
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:3:1,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:4:1,73
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:6:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:4:1,80
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:5:1,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:8:1,86
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:8:2,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:4:2:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:4:2:2,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:5:2:1,98
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:5:3:1,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:5:6:1,104
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:7:2:1,108
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:8:4:1,112
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:9:2:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:10:3:1,120
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:10:4:1,123
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:10:4:2,125
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:1:3:1,130
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:2:2:1,134
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:2:3:1,137
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:4:2:1,141
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:5:2:1,145
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:8:4:1,149
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:1:3:1,154
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:1:3:2,156
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:1:6:1,159
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:2:2:1,163
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:3:2:1,167
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:4:2:1,171
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:5:2:1,175
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:5:2:2,177
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:5:2:3,179
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:2:1,184
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:4:1,187
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:5:1,190
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:7:1,193
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:7:2,195
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:2:3:1,199
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:4:2:1,203
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:1:2:1,208
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:1:2:2,210
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:1:2:3,212
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:2:2:1,216
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:1:2:1,221
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:1:5:1,224
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:2:3:1,228
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:2:5:1,231
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:2:1,235
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:3:1,238
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:4:1,241
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:4:2,243
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:5:2:1,247
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:5:2:2,249
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:8:2:1,253
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:8:2:2,255
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:8:5:1,258
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:2:1,263
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:4:1,266
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:5:1,269
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:7:1,272
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:2:2:1,276
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:3:2:1,280
