ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:3:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:7:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:7:2,11
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:8:1,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:1:1,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:2:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:3:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:4:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:5:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:7:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:3:2:1,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:3:2:2,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:3:3:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:5:2:1,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:5:2:2,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:6:2:1,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:8:3:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:8:4:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:8:5:1,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:2:2:1,67
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:2:2:2,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:3:2:1,73
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:3:3:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:4:2:1,80
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:5:2:1,84
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:5:3:1,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:6:2:1,91
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:7:2:1,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:7:2:2,97
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:7:3:1,100
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:1:2:1,105
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:2:1,109
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:3:1,112
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:4:1,115
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:5:1,118
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:7:1,121
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:10:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:14:1,127
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:17:1,130
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:17:2,132
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:35:1,135
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:3:3:1,139
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:2:1,143
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:2:2,145
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:4:1,148
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:8:1,151
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:7:1,155
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:8:1,158
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:9:1,161
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:12:1,164
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:12:2,166
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:12:3,168
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:13:1,171
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:15:1,174
