ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:1:6:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:2:2:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:3:2:1,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:3:2:2,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:4:2:1,20
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:5:2:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:6:2:1,28
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:7:2:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 1:8:2:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:1:2:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:2:2:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:4:3:1,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:5:2:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:5:3:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:6:2:1,60
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:6:9:1,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:6:11:1,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:6:12:1,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:6:14:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:6:15:1,75
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Makkot 2:7:2:1,79
