ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:4:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:7:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:9:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:13:1,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:23:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:26:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:26:2,26
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:7:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:7:2,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:8:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:11:1,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:13:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:16:1,44
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:16:2,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:16:3,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:21:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:29:1,54
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:33:1,57
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:44:1,60
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:46:1,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:47:1,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:3:1,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:4:1,73
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:5:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:6:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:6:2,81
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:9:1,84
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:10:1,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:4:3:1,91
