ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:1:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:1:3:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:1:4:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:1:5:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:1:5:2,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:1:5:3,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:1:5:4,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:3:2:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:4:2:1,29
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:4:5:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:4:6:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:5:2:1,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:6:5:1,43
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:7:2:1,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 1:7:3:1,50
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:3:1,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:7:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:7:2,60
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:7:3,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:9:1,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:9:2,67
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:10:1,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:11:1,73
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:1:11:2,75
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:2:2:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:3:4:1,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:3:4:2,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:3:4:3,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 2:4:2:1,91
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:1:2:1,96
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:1:3:1,99
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:3:2:1,103
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:4:9:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:5:2:1,111
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:5:2:2,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:5:3:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:6:2:1,120
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:7:2:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:7:5:1,127
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:8:5:1,131
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:8:6:1,134
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:8:7:1,137
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:8:9:1,140
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Shevuot 3:9:5:1,144
