ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:1:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:1:3:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:1:7:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:1:8:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:2:3:1,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:2:4:1,22
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:2:6:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:3:2:1,29
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:4:2:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:4:3:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:4:3:2,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:4:4:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:4:5:1,44
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:5:2:1,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:5:4:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:5:5:1,54
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 1:5:5:2,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:1:6:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:1:6:2,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:1:7:1,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:2:3:1,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:3:7:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:4:2:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:4:3:1,81
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 2:4:3:2,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:1:3:1,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:1:5:1,91
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:1:6:1,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:1:6:2,96
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:1:6:3,98
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:2:2:1,102
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:2:3:1,105
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:3:2:1,109
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:4:2:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:5:3:1,117
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:6:4:1,121
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:7:2:1,125
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:7:2:2,127
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:7:5:1,130
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:8:2:1,134
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:8:4:1,137
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 3:8:4:2,139
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:1:2:1,144
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:1:2:2,146
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:1:2:3,148
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:2:2:1,152
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:2:4:1,155
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:2:6:1,158
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:4:2:1,162
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:4:5:1,165
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:4:6:1,168
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:6:2:1,172
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:6:3:1,175
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:6:4:1,178
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 4:6:5:1,181
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:3:1,186
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:5:1,189
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:5:2,191
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:5:3,193
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:6:1,196
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:6:2,198
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:7:1,201
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:9:1,204
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:10:1,207
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:1:11:1,210
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:3:4:1,214
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:3:5:1,217
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:3:6:1,220
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:3:8:1,223
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:3:10:1,226
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:4:4:1,230
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:5:2:1,234
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:6:2:1,238
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:6:3:1,241
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:6:5:1,244
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:7:2:1,248
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:7:2:2,250
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:7:3:1,253
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:7:6:1,256
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:7:7:1,259
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:8:2:1,263
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:9:6:1,267
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 5:10:2:1,271
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:1:3:1,276
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:1:7:1,279
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:2:4:1,283
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:2:5:1,286
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:3:2:1,290
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:5:4:1,294
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:6:4:1,298
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:6:4:2,300
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 6:7:2:1,304
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:1:2:1,309
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:1:4:1,312
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:3:4:1,316
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:3:6:1,319
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:4:2:1,323
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:4:5:1,326
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:4:6:1,329
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:6:4:1,333
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:7:2:1,337
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 7:8:2:1,341
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:1:3:1,346
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:1:3:2,348
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:1:3:3,350
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:2:3:1,354
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:2:3:2,356
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:3:8:1,360
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:9:3:1,364
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:10:2:1,368
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:10:2:2,370
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:10:2:3,372
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:10:5:1,375
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 8:10:5:2,377
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 9:1:2:1,382
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 9:1:4:1,385
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Gittin 9:1:5:1,388
