ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:2:1,6
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:7:1,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:8:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:13:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:13:2,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:14:1,20
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:14:2,22
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:1:14:3,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:2:2:1,28
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:3:2:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:3:6:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:3:8:1,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:3:11:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:4:3:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 1:4:5:1,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 2:2:2:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 2:3:2:1,57
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 2:3:2:2,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 2:4:2:1,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 2:4:4:1,66
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 3:1:3:1,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 3:1:5:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 3:2:2:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 3:2:6:1,81
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 3:2:10:1,84
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Nedarim 3:2:10:2,86
