ref,line_index
Rishon LeTzion on Proverbs 1:2:1,4
Rishon LeTzion on Proverbs 1:2:2,5
Rishon LeTzion on Proverbs 1:10:1,7
Rishon LeTzion on Proverbs 1:11:1,9
Rishon LeTzion on Proverbs 1:15:1,11
Rishon LeTzion on Proverbs 1:15:2,12
Rishon LeTzion on Proverbs 1:15:3,13
Rishon LeTzion on Proverbs 1:15:4,14
Rishon LeTzion on Proverbs 1:20:1,16
Rishon LeTzion on Proverbs 1:20:2,17
Rishon LeTzion on Proverbs 1:20:3,18
Rishon LeTzion on Proverbs 1:24:1,20
Rishon LeTzion on Proverbs 1:24:2,21
Rishon LeTzion on Proverbs 1:29:1,23
Rishon LeTzion on Proverbs 1:32:1,25
Rishon LeTzion on Proverbs 2:1:1,28
Rishon LeTzion on Proverbs 2:1:2,29
Rishon LeTzion on Proverbs 2:1:3,30
Rishon LeTzion on Proverbs 2:1:4,31
Rishon LeTzion on Proverbs 2:1:5,32
Rishon LeTzion on Proverbs 2:10:1,34
Rishon LeTzion on Proverbs 2:16:1,36
Rishon LeTzion on Proverbs 2:20:1,38
Rishon LeTzion on Proverbs 3:1:1,41
Rishon LeTzion on Proverbs 3:3:1,43
Rishon LeTzion on Proverbs 3:3:2,44
Rishon LeTzion on Proverbs 3:7:1,46
Rishon LeTzion on Proverbs 3:11:1,48
Rishon LeTzion on Proverbs 3:13:1,50
Rishon LeTzion on Proverbs 3:16:1,52
Rishon LeTzion on Proverbs 3:19:1,54
Rishon LeTzion on Proverbs 3:20:1,56
Rishon LeTzion on Proverbs 3:27:1,58
Rishon LeTzion on Proverbs 3:28:1,60
Rishon LeTzion on Proverbs 3:29:1,62
Rishon LeTzion on Proverbs 3:30:1,64
Rishon LeTzion on Proverbs 4:1:1,67
Rishon LeTzion on Proverbs 4:3:1,69
Rishon LeTzion on Proverbs 4:5:1,71
Rishon LeTzion on Proverbs 27:10:1,74
Rishon LeTzion on Proverbs 30:1:1,77
Rishon LeTzion on Proverbs 30:5:1,79
Rishon LeTzion on Proverbs 30:5:2,80
