ref,line_index
Rishon LeTzion on I Samuel 14:24:1,4
Rishon LeTzion on I Samuel 14:24:2,5
Rishon LeTzion on I Samuel 14:24:3,6
Rishon LeTzion on I Samuel 14:24:4,7
Rishon LeTzion on I Samuel 14:24:5,8
Rishon LeTzion on I Samuel 14:24:6,9
Rishon LeTzion on I Samuel 14:32:1,11
Rishon LeTzion on I Samuel 14:32:2,12
Rishon LeTzion on I Samuel 14:32:3,13
Rishon LeTzion on I Samuel 14:36:1,15
Rishon LeTzion on I Samuel 14:36:2,16
Rishon LeTzion on I Samuel 14:36:3,17
Rishon LeTzion on I Samuel 14:36:4,18
