ref,line_index
Steinsaltz on Esther 1:1,4
Steinsaltz on Esther 1:2,6
Steinsaltz on Esther 1:3,8
Steinsaltz on Esther 1:4,10
Steinsaltz on Esther 1:5,12
Steinsaltz on Esther 1:6,14
Steinsaltz on Esther 1:7,16
Steinsaltz on Esther 1:8,18
Steinsaltz on Esther 1:9,20
Steinsaltz on Esther 1:10,22
Steinsaltz on Esther 1:11,24
Steinsaltz on Esther 1:12,26
Steinsaltz on Esther 1:13,28
Steinsaltz on Esther 1:14,30
Steinsaltz on Esther 1:15,32
Steinsaltz on Esther 1:16,34
Steinsaltz on Esther 1:17,36
Steinsaltz on Esther 1:18,38
Steinsaltz on Esther 1:19,40
Steinsaltz on Esther 1:20,42
Steinsaltz on Esther 1:21,44
Steinsaltz on Esther 1:22,46
Steinsaltz on Esther 2:1,49
Steinsaltz on Esther 2:2,51
Steinsaltz on Esther 2:3,53
Steinsaltz on Esther 2:4,55
Steinsaltz on Esther 2:5,57
Steinsaltz on Esther 2:6,59
Steinsaltz on Esther 2:7,61
Steinsaltz on Esther 2:8,63
Steinsaltz on Esther 2:9,65
Steinsaltz on Esther 2:10,67
Steinsaltz on Esther 2:11,69
Steinsaltz on Esther 2:12,71
Steinsaltz on Esther 2:13,73
Steinsaltz on Esther 2:14,75
Steinsaltz on Esther 2:15,77
Steinsaltz on Esther 2:16,79
Steinsaltz on Esther 2:17,81
Steinsaltz on Esther 2:18,83
Steinsaltz on Esther 2:19,85
Steinsaltz on Esther 2:20,87
Steinsaltz on Esther 2:21,89
Steinsaltz on Esther 2:22,91
Steinsaltz on Esther 2:23,93
Steinsaltz on Esther 3:1,96
Steinsaltz on Esther 3:2,98
Steinsaltz on Esther 3:3,100
Steinsaltz on Esther 3:4,102
Steinsaltz on Esther 3:5,104
Steinsaltz on Esther 3:6,106
Steinsaltz on Esther 3:7,108
Steinsaltz on Esther 3:8,110
Steinsaltz on Esther 3:9,112
Steinsaltz on Esther 3:10,114
Steinsaltz on Esther 3:11,116
Steinsaltz on Esther 3:12,118
Steinsaltz on Esther 3:13,120
Steinsaltz on Esther 3:14,122
Steinsaltz on Esther 3:15,124
Steinsaltz on Esther 4:1,127
Steinsaltz on Esther 4:2,129
Steinsaltz on Esther 4:3,131
Steinsaltz on Esther 4:4,133
Steinsaltz on Esther 4:5,135
Steinsaltz on Esther 4:6,137
Steinsaltz on Esther 4:7,139
Steinsaltz on Esther 4:8,141
Steinsaltz on Esther 4:9,143
