ref,line_index
Steinsaltz on Amos 1:1,4
Steinsaltz on Amos 1:2,6
Steinsaltz on Amos 1:3,8
Steinsaltz on Amos 1:4,10
Steinsaltz on Amos 1:5,12
Steinsaltz on Amos 1:6,14
Steinsaltz on Amos 1:7,16
Steinsaltz on Amos 1:8,18
Steinsaltz on Amos 1:9,20
Steinsaltz on Amos 1:10,22
Steinsaltz on Amos 1:11,24
Steinsaltz on Amos 1:12,26
Steinsaltz on Amos 1:13,28
Steinsaltz on Amos 1:14,30
Steinsaltz on Amos 1:15,32
Steinsaltz on Amos 2:1,35
Steinsaltz on Amos 2:2,37
Steinsaltz on Amos 2:3,39
Steinsaltz on Amos 2:4,41
Steinsaltz on Amos 2:5,43
Steinsaltz on Amos 2:6,45
Steinsaltz on Amos 2:7,47
Steinsaltz on Amos 2:8,49
Steinsaltz on Amos 2:9,51
Steinsaltz on Amos 2:10,53
Steinsaltz on Amos 2:11,55
Steinsaltz on Amos 2:12,57
Steinsaltz on Amos 2:13,59
Steinsaltz on Amos 2:14,61
Steinsaltz on Amos 2:15,63
Steinsaltz on Amos 2:16,65
Steinsaltz on Amos 3:1,68
Steinsaltz on Amos 3:2,70
Steinsaltz on Amos 3:3,72
Steinsaltz on Amos 3:4,74
Steinsaltz on Amos 3:5,76
Steinsaltz on Amos 3:6,78
Steinsaltz on Amos 3:7,80
Steinsaltz on Amos 3:8,82
Steinsaltz on Amos 3:9,84
Steinsaltz on Amos 3:10,86
Steinsaltz on Amos 3:11,88
Steinsaltz on Amos 3:12,90
Steinsaltz on Amos 3:13,92
Steinsaltz on Amos 3:14,94
Steinsaltz on Amos 3:15,96
Steinsaltz on Amos 4:1,99
Steinsaltz on Amos 4:2,101
Steinsaltz on Amos 4:3,103
Steinsaltz on Amos 4:4,105
Steinsaltz on Amos 4:5,107
Steinsaltz on Amos 4:6,109
Steinsaltz on Amos 4:7,111
Steinsaltz on Amos 4:8,113
Steinsaltz on Amos 4:9,115
Steinsaltz on Amos 4:10,117
Steinsaltz on Amos 4:11,119
Steinsaltz on Amos 4:12,121
Steinsaltz on Amos 4:13,123
Steinsaltz on Amos 5:1,126
Steinsaltz on Amos 5:2,128
Steinsaltz on Amos 5:3,130
Steinsaltz on Amos 5:4,132
Steinsaltz on Amos 5:5,134
Steinsaltz on Amos 5:6,136
Steinsaltz on Amos 5:7,138
Steinsaltz on Amos 5:8,140
Steinsaltz on Amos 5:9,142
Steinsaltz on Amos 5:10,144
Steinsaltz on Amos 5:11,146
Steinsaltz on Amos 5:12,148
Steinsaltz on Amos 5:13,150
Steinsaltz on Amos 5:14,152
Steinsaltz on Amos 5:15,154
Steinsaltz on Amos 5:16,156
Steinsaltz on Amos 5:17,158
Steinsaltz on Amos 5:18,160
Steinsaltz on Amos 5:19,162
Steinsaltz on Amos 5:20,164
Steinsaltz on Amos 5:21,166
Steinsaltz on Amos 5:22,168
Steinsaltz on Amos 5:23,170
Steinsaltz on Amos 5:24,172
Steinsaltz on Amos 5:25,174
Steinsaltz on Amos 5:26,176
Steinsaltz on Amos 5:27,178
Steinsaltz on Amos 6:1,181
Steinsaltz on Amos 6:2,183
Steinsaltz on Amos 6:3,185
Steinsaltz on Amos 6:4,187
Steinsaltz on Amos 6:5,189
Steinsaltz on Amos 6:6,191
Steinsaltz on Amos 6:7,193
Steinsaltz on Amos 6:8,195
Steinsaltz on Amos 6:9,197
Steinsaltz on Amos 6:10,199
Steinsaltz on Amos 6:11,201
Steinsaltz on Amos 6:12,203
Steinsaltz on Amos 6:13,205
Steinsaltz on Amos 6:14,207
Steinsaltz on Amos 7:1,210
Steinsaltz on Amos 7:2,212
Steinsaltz on Amos 7:3,214
Steinsaltz on Amos 7:4,216
Steinsaltz on Amos 7:5,218
Steinsaltz on Amos 7:6,220
Steinsaltz on Amos 7:7,222
Steinsaltz on Amos 7:8,224
Steinsaltz on Amos 7:9,226
Steinsaltz on Amos 7:10,228
Steinsaltz on Amos 7:11,230
Steinsaltz on Amos 7:12,232
Steinsaltz on Amos 7:13,234
Steinsaltz on Amos 7:14,236
Steinsaltz on Amos 7:15,238
Steinsaltz on Amos 7:16,240
Steinsaltz on Amos 7:17,242
Steinsaltz on Amos 8:1,245
Steinsaltz on Amos 8:2,247
Steinsaltz on Amos 8:3,249
Steinsaltz on Amos 8:4,251
Steinsaltz on Amos 8:5,253
Steinsaltz on Amos 8:6,255
Steinsaltz on Amos 8:7,257
Steinsaltz on Amos 8:8,259
Steinsaltz on Amos 8:9,261
Steinsaltz on Amos 8:10,263
Steinsaltz on Amos 8:11,265
Steinsaltz on Amos 8:12,267
Steinsaltz on Amos 8:13,269
Steinsaltz on Amos 8:14,271
Steinsaltz on Amos 9:1,274
Steinsaltz on Amos 9:2,276
Steinsaltz on Amos 9:3,278
Steinsaltz on Amos 9:4,280
Steinsaltz on Amos 9:5,282
Steinsaltz on Amos 9:6,284
Steinsaltz on Amos 9:7,286
Steinsaltz on Amos 9:8,288
Steinsaltz on Amos 9:9,290
Steinsaltz on Amos 9:10,292
Steinsaltz on Amos 9:11,294
Steinsaltz on Amos 9:12,296
Steinsaltz on Amos 9:13,298
Steinsaltz on Amos 9:14,300
Steinsaltz on Amos 9:15,302
