ref,line_index
Steinsaltz on Zephaniah 1:1,4
Steinsaltz on Zephaniah 1:2,6
Steinsaltz on Zephaniah 1:3,8
Steinsaltz on Zephaniah 1:4,10
Steinsaltz on Zephaniah 1:5,12
Steinsaltz on Zephaniah 1:6,14
Steinsaltz on Zephaniah 1:7,16
Steinsaltz on Zephaniah 1:8,18
Steinsaltz on Zephaniah 1:9,20
Steinsaltz on Zephaniah 1:10,22
Steinsaltz on Zephaniah 1:11,24
Steinsaltz on Zephaniah 1:12,26
Steinsaltz on Zephaniah 1:13,28
Steinsaltz on Zephaniah 1:14,30
Steinsaltz on Zephaniah 1:15,32
Steinsaltz on Zephaniah 1:16,34
Steinsaltz on Zephaniah 1:17,36
Steinsaltz on Zephaniah 1:18,38
Steinsaltz on Zephaniah 2:1,41
Steinsaltz on Zephaniah 2:2,43
Steinsaltz on Zephaniah 2:3,45
Steinsaltz on Zephaniah 2:4,47
Steinsaltz on Zephaniah 2:5,49
Steinsaltz on Zephaniah 2:6,51
Steinsaltz on Zephaniah 2:7,53
Steinsaltz on Zephaniah 2:8,55
Steinsaltz on Zephaniah 2:9,57
Steinsaltz on Zephaniah 2:10,59
Steinsaltz on Zephaniah 2:11,61
Steinsaltz on Zephaniah 2:12,63
Steinsaltz on Zephaniah 2:13,65
Steinsaltz on Zephaniah 2:14,67
Steinsaltz on Zephaniah 2:15,69
Steinsaltz on Zephaniah 3:1,72
Steinsaltz on Zephaniah 3:2,74
Steinsaltz on Zephaniah 3:3,76
Steinsaltz on Zephaniah 3:4,78
Steinsaltz on Zephaniah 3:5,80
Steinsaltz on Zephaniah 3:6,82
Steinsaltz on Zephaniah 3:7,84
Steinsaltz on Zephaniah 3:8,86
Steinsaltz on Zephaniah 3:9,88
Steinsaltz on Zephaniah 3:10,90
Steinsaltz on Zephaniah 3:11,92
Steinsaltz on Zephaniah 3:12,94
Steinsaltz on Zephaniah 3:13,96
Steinsaltz on Zephaniah 3:14,98
Steinsaltz on Zephaniah 3:15,100
Steinsaltz on Zephaniah 3:16,102
Steinsaltz on Zephaniah 3:17,104
Steinsaltz on Zephaniah 3:18,106
Steinsaltz on Zephaniah 3:19,108
Steinsaltz on Zephaniah 3:20,110
