ref,line_index
Steinsaltz on Judges 1:1,4
Steinsaltz on Judges 1:2,6
Steinsaltz on Judges 1:3,8
Steinsaltz on Judges 1:4,10
Steinsaltz on Judges 1:5,12
Steinsaltz on Judges 1:6,14
Steinsaltz on Judges 1:7,16
Steinsaltz on Judges 1:8,18
Steinsaltz on Judges 1:9,20
Steinsaltz on Judges 1:10,22
Steinsaltz on Judges 1:11,24
Steinsaltz on Judges 1:12,26
Steinsaltz on Judges 1:13,28
Steinsaltz on Judges 1:14,30
Steinsaltz on Judges 1:15,32
Steinsaltz on Judges 1:16,34
Steinsaltz on Judges 1:17,36
Steinsaltz on Judges 1:18,38
Steinsaltz on Judges 1:19,40
Steinsaltz on Judges 1:20,42
Steinsaltz on Judges 1:21,44
Steinsaltz on Judges 1:22,46
Steinsaltz on Judges 1:23,48
Steinsaltz on Judges 1:24,50
Steinsaltz on Judges 1:25,52
Steinsaltz on Judges 1:26,54
Steinsaltz on Judges 1:27,56
Steinsaltz on Judges 1:28,58
Steinsaltz on Judges 1:29,60
Steinsaltz on Judges 1:30,62
Steinsaltz on Judges 1:31,64
Steinsaltz on Judges 1:32,66
Steinsaltz on Judges 1:33,68
Steinsaltz on Judges 1:34,70
Steinsaltz on Judges 1:35,72
Steinsaltz on Judges 1:36,74
Steinsaltz on Judges 2:1,77
Steinsaltz on Judges 2:2,79
Steinsaltz on Judges 2:3,81
Steinsaltz on Judges 2:4,83
Steinsaltz on Judges 2:5,85
Steinsaltz on Judges 2:6,87
Steinsaltz on Judges 2:7,89
Steinsaltz on Judges 2:8,91
Steinsaltz on Judges 2:9,93
Steinsaltz on Judges 2:10,95
Steinsaltz on Judges 2:11,97
Steinsaltz on Judges 2:12,99
Steinsaltz on Judges 2:13,101
Steinsaltz on Judges 2:14,103
Steinsaltz on Judges 2:15,105
Steinsaltz on Judges 2:16,107
Steinsaltz on Judges 2:17,109
Steinsaltz on Judges 2:18,111
Steinsaltz on Judges 2:19,113
Steinsaltz on Judges 2:20,115
Steinsaltz on Judges 2:21,117
Steinsaltz on Judges 2:22,119
Steinsaltz on Judges 2:23,121
Steinsaltz on Judges 3:1,124
Steinsaltz on Judges 3:2,126
Steinsaltz on Judges 3:3,128
Steinsaltz on Judges 3:4,130
Steinsaltz on Judges 3:5,132
Steinsaltz on Judges 3:6,134
Steinsaltz on Judges 3:7,136
Steinsaltz on Judges 3:8,138
Steinsaltz on Judges 3:9,140
Steinsaltz on Judges 3:10,142
Steinsaltz on Judges 3:11,144
Steinsaltz on Judges 3:12,146
Steinsaltz on Judges 3:13,148
Steinsaltz on Judges 3:14,150
Steinsaltz on Judges 3:15,152
Steinsaltz on Judges 3:16,154
Steinsaltz on Judges 3:17,156
Steinsaltz on Judges 3:18,158
Steinsaltz on Judges 3:19,160
Steinsaltz on Judges 3:20,162
Steinsaltz on Judges 3:21,164
Steinsaltz on Judges 3:22,166
Steinsaltz on Judges 3:23,168
Steinsaltz on Judges 3:24,170
Steinsaltz on Judges 3:25,172
Steinsaltz on Judges 3:26,174
Steinsaltz on Judges 3:27,176
Steinsaltz on Judges 3:28,178
Steinsaltz on Judges 3:29,180
Steinsaltz on Judges 3:30,182
Steinsaltz on Judges 3:31,184
Steinsaltz on Judges 4:1,187
Steinsaltz on Judges 4:2,189
Steinsaltz on Judges 4:3,191
Steinsaltz on Judges 4:4,193
Steinsaltz on Judges 4:5,195
Steinsaltz on Judges 4:6,197
Steinsaltz on Judges 4:7,199
Steinsaltz on Judges 4:8,201
Steinsaltz on Judges 4:9,203
Steinsaltz on Judges 4:10,205
Steinsaltz on Judges 4:11,207
Steinsaltz on Judges 4:12,209
Steinsaltz on Judges 4:13,211
Steinsaltz on Judges 4:14,213
Steinsaltz on Judges 4:15,215
Steinsaltz on Judges 4:16,217
Steinsaltz on Judges 4:17,219
Steinsaltz on Judges 4:18,221
Steinsaltz on Judges 4:19,223
Steinsaltz on Judges 4:20,225
Steinsaltz on Judges 4:21,227
Steinsaltz on Judges 4:22,229
Steinsaltz on Judges 4:23,231
Steinsaltz on Judges 4:24,233
Steinsaltz on Judges 5:1,236
Steinsaltz on Judges 5:2,238
Steinsaltz on Judges 5:3,240
Steinsaltz on Judges 5:4,242
Steinsaltz on Judges 5:5,244
Steinsaltz on Judges 5:6,246
Steinsaltz on Judges 5:7,248
Steinsaltz on Judges 5:8,250
Steinsaltz on Judges 5:9,252
Steinsaltz on Judges 5:10,254
Steinsaltz on Judges 5:11,256
Steinsaltz on Judges 5:12,258
Steinsaltz on Judges 5:13,260
Steinsaltz on Judges 5:14,262
Steinsaltz on Judges 5:15,264
Steinsaltz on Judges 5:16,266
Steinsaltz on Judges 5:17,268
Steinsaltz on Judges 5:18,270
Steinsaltz on Judges 5:19,272
Steinsaltz on Judges 5:20,274
Steinsaltz on Judges 5:21,276
Steinsaltz on Judges 5:22,278
Steinsaltz on Judges 5:23,280
Steinsaltz on Judges 5:24,282
Steinsaltz on Judges 5:25,284
Steinsaltz on Judges 5:26,286
Steinsaltz on Judges 5:27,288
Steinsaltz on Judges 5:28,290
Steinsaltz on Judges 5:29,292
Steinsaltz on Judges 5:30,294
Steinsaltz on Judges 5:31,296
Steinsaltz on Judges 6:1,299
Steinsaltz on Judges 6:2,301
Steinsaltz on Judges 6:3,303
Steinsaltz on Judges 6:4,305
Steinsaltz on Judges 6:5,307
Steinsaltz on Judges 6:6,309
Steinsaltz on Judges 6:7,311
Steinsaltz on Judges 6:8,313
Steinsaltz on Judges 6:9,315
Steinsaltz on Judges 6:10,317
Steinsaltz on Judges 6:11,319
Steinsaltz on Judges 6:12,321
Steinsaltz on Judges 6:13,323
Steinsaltz on Judges 6:14,325
Steinsaltz on Judges 6:15,327
Steinsaltz on Judges 6:16,329
Steinsaltz on Judges 6:17,331
Steinsaltz on Judges 6:18,333
Steinsaltz on Judges 6:19,335
Steinsaltz on Judges 6:20,337
Steinsaltz on Judges 6:21,339
Steinsaltz on Judges 6:22,341
Steinsaltz on Judges 6:23,343
Steinsaltz on Judges 6:24,345
Steinsaltz on Judges 6:25,347
Steinsaltz on Judges 6:26,349
Steinsaltz on Judges 6:27,351
Steinsaltz on Judges 6:28,353
Steinsaltz on Judges 6:29,355
Steinsaltz on Judges 6:30,357
Steinsaltz on Judges 6:31,359
Steinsaltz on Judges 6:32,361
Steinsaltz on Judges 6:33,363
Steinsaltz on Judges 6:34,365
Steinsaltz on Judges 6:35,367
Steinsaltz on Judges 6:36,369
Steinsaltz on Judges 6:37,371
Steinsaltz on Judges 6:38,373
