ref,line_index
Steinsaltz on II Samuel 1:1,4
Steinsaltz on II Samuel 1:2,6
Steinsaltz on II Samuel 1:3,8
Steinsaltz on II Samuel 1:4,10
Steinsaltz on II Samuel 1:5,12
Steinsaltz on II Samuel 1:6,14
Steinsaltz on II Samuel 1:7,16
Steinsaltz on II Samuel 1:8,18
Steinsaltz on II Samuel 1:9,20
Steinsaltz on II Samuel 1:10,22
Steinsaltz on II Samuel 1:11,24
Steinsaltz on II Samuel 1:12,26
Steinsaltz on II Samuel 1:13,28
Steinsaltz on II Samuel 1:14,30
Steinsaltz on II Samuel 1:15,32
Steinsaltz on II Samuel 1:16,34
Steinsaltz on II Samuel 1:17,36
Steinsaltz on II Samuel 1:18,38
Steinsaltz on II Samuel 1:19,40
Steinsaltz on II Samuel 1:20,42
Steinsaltz on II Samuel 1:21,44
Steinsaltz on II Samuel 1:22,46
Steinsaltz on II Samuel 1:23,48
Steinsaltz on II Samuel 1:24,50
Steinsaltz on II Samuel 1:25,52
Steinsaltz on II Samuel 1:26,54
Steinsaltz on II Samuel 1:27,56
Steinsaltz on II Samuel 2:1,59
Steinsaltz on II Samuel 2:2,61
Steinsaltz on II Samuel 2:3,63
Steinsaltz on II Samuel 2:4,65
Steinsaltz on II Samuel 2:5,67
Steinsaltz on II Samuel 2:6,69
Steinsaltz on II Samuel 2:7,71
Steinsaltz on II Samuel 2:8,73
Steinsaltz on II Samuel 2:9,75
Steinsaltz on II Samuel 2:10,77
Steinsaltz on II Samuel 2:11,79
Steinsaltz on II Samuel 2:12,81
Steinsaltz on II Samuel 2:13,83
Steinsaltz on II Samuel 2:14,85
Steinsaltz on II Samuel 2:15,87
Steinsaltz on II Samuel 2:16,89
Steinsaltz on II Samuel 2:17,91
Steinsaltz on II Samuel 2:18,93
Steinsaltz on II Samuel 2:19,95
Steinsaltz on II Samuel 2:20,97
Steinsaltz on II Samuel 2:21,99
Steinsaltz on II Samuel 2:22,101
Steinsaltz on II Samuel 2:23,103
Steinsaltz on II Samuel 2:24,105
Steinsaltz on II Samuel 2:25,107
Steinsaltz on II Samuel 2:26,109
Steinsaltz on II Samuel 2:27,111
Steinsaltz on II Samuel 2:28,113
Steinsaltz on II Samuel 2:29,115
Steinsaltz on II Samuel 2:30,117
Steinsaltz on II Samuel 2:31,119
Steinsaltz on II Samuel 2:32,121
Steinsaltz on II Samuel 3:1,124
