ref,line_index
Steinsaltz on Numbers 1:1,4
Steinsaltz on Numbers 1:2,6
Steinsaltz on Numbers 1:3,8
Steinsaltz on Numbers 1:4,10
Steinsaltz on Numbers 1:5,12
Steinsaltz on Numbers 1:6,14
Steinsaltz on Numbers 1:7,16
Steinsaltz on Numbers 1:8,18
Steinsaltz on Numbers 1:9,20
Steinsaltz on Numbers 1:10,22
Steinsaltz on Numbers 1:11,24
Steinsaltz on Numbers 1:12,26
Steinsaltz on Numbers 1:13,28
Steinsaltz on Numbers 1:14,30
Steinsaltz on Numbers 1:15,32
Steinsaltz on Numbers 1:16,34
Steinsaltz on Numbers 1:17,36
Steinsaltz on Numbers 1:18,38
Steinsaltz on Numbers 1:19,40
Steinsaltz on Numbers 1:20,42
Steinsaltz on Numbers 1:21,44
Steinsaltz on Numbers 1:22,46
Steinsaltz on Numbers 1:23,48
Steinsaltz on Numbers 1:24,50
Steinsaltz on Numbers 1:25,52
Steinsaltz on Numbers 1:26,54
Steinsaltz on Numbers 1:27,56
Steinsaltz on Numbers 1:28,58
Steinsaltz on Numbers 1:29,60
Steinsaltz on Numbers 1:30,62
Steinsaltz on Numbers 1:31,64
Steinsaltz on Numbers 1:32,66
Steinsaltz on Numbers 1:33,68
Steinsaltz on Numbers 1:34,70
Steinsaltz on Numbers 1:35,72
Steinsaltz on Numbers 1:36,74
Steinsaltz on Numbers 1:37,76
Steinsaltz on Numbers 1:38,78
Steinsaltz on Numbers 1:39,80
Steinsaltz on Numbers 1:40,82
Steinsaltz on Numbers 1:41,84
Steinsaltz on Numbers 1:42,86
Steinsaltz on Numbers 1:43,88
Steinsaltz on Numbers 1:44,90
Steinsaltz on Numbers 1:45,92
Steinsaltz on Numbers 1:46,94
Steinsaltz on Numbers 1:47,96
Steinsaltz on Numbers 1:48,98
Steinsaltz on Numbers 1:49,100
Steinsaltz on Numbers 1:50,102
Steinsaltz on Numbers 1:51,104
Steinsaltz on Numbers 1:52,106
Steinsaltz on Numbers 1:53,108
Steinsaltz on Numbers 1:54,110
Steinsaltz on Numbers 2:1,113
Steinsaltz on Numbers 2:2,115
Steinsaltz on Numbers 2:3,117
Steinsaltz on Numbers 2:4,119
Steinsaltz on Numbers 2:5,121
