ref,line_index
Steinsaltz on Genesis 1:1,4
Steinsaltz on Genesis 1:2,6
Steinsaltz on Genesis 1:3,8
Steinsaltz on Genesis 1:4,10
Steinsaltz on Genesis 1:5,12
Steinsaltz on Genesis 1:6,14
Steinsaltz on Genesis 1:7,16
Steinsaltz on Genesis 1:8,18
Steinsaltz on Genesis 1:9,20
Steinsaltz on Genesis 1:10,22
Steinsaltz on Genesis 1:11,24
Steinsaltz on Genesis 1:12,26
Steinsaltz on Genesis 1:13,28
Steinsaltz on Genesis 1:14,30
Steinsaltz on Genesis 1:15,32
Steinsaltz on Genesis 1:16,34
Steinsaltz on Genesis 1:17,36
Steinsaltz on Genesis 1:18,38
Steinsaltz on Genesis 1:19,40
Steinsaltz on Genesis 1:20,42
Steinsaltz on Genesis 1:21,44
Steinsaltz on Genesis 1:22,46
Steinsaltz on Genesis 1:23,48
Steinsaltz on Genesis 1:24,50
Steinsaltz on Genesis 1:25,52
Steinsaltz on Genesis 1:26,54
Steinsaltz on Genesis 1:27,56
Steinsaltz on Genesis 1:28,58
Steinsaltz on Genesis 1:29,60
Steinsaltz on Genesis 1:30,62
Steinsaltz on Genesis 1:31,64
Steinsaltz on Genesis 2:1,67
Steinsaltz on Genesis 2:2,69
Steinsaltz on Genesis 2:3,71
Steinsaltz on Genesis 2:4,73
Steinsaltz on Genesis 2:5,75
Steinsaltz on Genesis 2:6,77
Steinsaltz on Genesis 2:7,79
Steinsaltz on Genesis 2:8,81
Steinsaltz on Genesis 2:9,83
Steinsaltz on Genesis 2:10,85
Steinsaltz on Genesis 2:11,87
Steinsaltz on Genesis 2:12,89
Steinsaltz on Genesis 2:13,91
Steinsaltz on Genesis 2:14,93
Steinsaltz on Genesis 2:15,95
Steinsaltz on Genesis 2:16,97
Steinsaltz on Genesis 2:17,99
Steinsaltz on Genesis 2:18,101
Steinsaltz on Genesis 2:19,103
Steinsaltz on Genesis 2:20,105
Steinsaltz on Genesis 2:21,107
Steinsaltz on Genesis 2:22,109
Steinsaltz on Genesis 2:23,111
Steinsaltz on Genesis 2:24,113
Steinsaltz on Genesis 2:25,115
Steinsaltz on Genesis 3:1,118
Steinsaltz on Genesis 3:2,120
Steinsaltz on Genesis 3:3,122
Steinsaltz on Genesis 3:4,124
Steinsaltz on Genesis 3:5,126
Steinsaltz on Genesis 3:6,128
Steinsaltz on Genesis 3:7,130
Steinsaltz on Genesis 3:8,132
Steinsaltz on Genesis 3:9,134
Steinsaltz on Genesis 3:10,136
Steinsaltz on Genesis 3:11,138
Steinsaltz on Genesis 3:12,140
Steinsaltz on Genesis 3:13,142
Steinsaltz on Genesis 3:14,144
Steinsaltz on Genesis 3:15,146
Steinsaltz on Genesis 3:16,148
Steinsaltz on Genesis 3:17,150
Steinsaltz on Genesis 3:18,152
Steinsaltz on Genesis 3:19,154
Steinsaltz on Genesis 3:20,156
Steinsaltz on Genesis 3:21,158
Steinsaltz on Genesis 3:22,160
Steinsaltz on Genesis 3:23,162
Steinsaltz on Genesis 3:24,164
Steinsaltz on Genesis 4:1,167
Steinsaltz on Genesis 4:2,169
Steinsaltz on Genesis 4:3,171
Steinsaltz on Genesis 4:4,173
Steinsaltz on Genesis 4:5,175
Steinsaltz on Genesis 4:6,177
Steinsaltz on Genesis 4:7,179
Steinsaltz on Genesis 4:8,181
Steinsaltz on Genesis 4:9,183
Steinsaltz on Genesis 4:10,185
Steinsaltz on Genesis 4:11,187
Steinsaltz on Genesis 4:12,189
Steinsaltz on Genesis 4:13,191
Steinsaltz on Genesis 4:14,193
Steinsaltz on Genesis 4:15,195
Steinsaltz on Genesis 4:16,197
Steinsaltz on Genesis 4:17,199
Steinsaltz on Genesis 4:18,201
Steinsaltz on Genesis 4:19,203
Steinsaltz on Genesis 4:20,205
Steinsaltz on Genesis 4:21,207
Steinsaltz on Genesis 4:22,209
Steinsaltz on Genesis 4:23,211
Steinsaltz on Genesis 4:24,213
Steinsaltz on Genesis 4:25,215
Steinsaltz on Genesis 4:26,217
Steinsaltz on Genesis 5:1,220
Steinsaltz on Genesis 5:2,222
Steinsaltz on Genesis 5:3,224
Steinsaltz on Genesis 5:4,226
Steinsaltz on Genesis 5:5,228
Steinsaltz on Genesis 5:6,230
Steinsaltz on Genesis 5:7,232
Steinsaltz on Genesis 5:8,234
Steinsaltz on Genesis 5:9,236
Steinsaltz on Genesis 5:10,238
Steinsaltz on Genesis 5:11,240
Steinsaltz on Genesis 5:12,242
Steinsaltz on Genesis 5:13,244
Steinsaltz on Genesis 5:14,246
Steinsaltz on Genesis 5:15,248
Steinsaltz on Genesis 5:16,250
Steinsaltz on Genesis 5:17,252
Steinsaltz on Genesis 5:18,254
Steinsaltz on Genesis 5:19,256
Steinsaltz on Genesis 5:20,258
