ref,line_index
Steinsaltz on Deuteronomy 1:1,4
Steinsaltz on Deuteronomy 1:2,6
Steinsaltz on Deuteronomy 1:3,8
Steinsaltz on Deuteronomy 1:4,10
Steinsaltz on Deuteronomy 1:5,12
Steinsaltz on Deuteronomy 1:6,14
Steinsaltz on Deuteronomy 1:7,16
Steinsaltz on Deuteronomy 1:8,18
Steinsaltz on Deuteronomy 1:9,20
Steinsaltz on Deuteronomy 1:10,22
Steinsaltz on Deuteronomy 1:11,24
Steinsaltz on Deuteronomy 1:12,26
Steinsaltz on Deuteronomy 1:13,28
Steinsaltz on Deuteronomy 1:14,30
Steinsaltz on Deuteronomy 1:15,32
Steinsaltz on Deuteronomy 1:16,34
Steinsaltz on Deuteronomy 1:17,36
Steinsaltz on Deuteronomy 1:18,38
Steinsaltz on Deuteronomy 1:19,40
Steinsaltz on Deuteronomy 1:20,42
Steinsaltz on Deuteronomy 1:21,44
Steinsaltz on Deuteronomy 1:22,46
Steinsaltz on Deuteronomy 1:23,48
Steinsaltz on Deuteronomy 1:24,50
Steinsaltz on Deuteronomy 1:25,52
Steinsaltz on Deuteronomy 1:26,54
Steinsaltz on Deuteronomy 1:27,56
Steinsaltz on Deuteronomy 1:28,58
Steinsaltz on Deuteronomy 1:29,60
Steinsaltz on Deuteronomy 1:30,62
Steinsaltz on Deuteronomy 1:31,64
Steinsaltz on Deuteronomy 1:32,66
Steinsaltz on Deuteronomy 1:33,68
Steinsaltz on Deuteronomy 1:34,70
Steinsaltz on Deuteronomy 1:35,72
Steinsaltz on Deuteronomy 1:36,74
Steinsaltz on Deuteronomy 1:37,76
Steinsaltz on Deuteronomy 1:38,78
Steinsaltz on Deuteronomy 1:39,80
Steinsaltz on Deuteronomy 1:40,82
Steinsaltz on Deuteronomy 1:41,84
Steinsaltz on Deuteronomy 1:42,86
Steinsaltz on Deuteronomy 1:43,88
Steinsaltz on Deuteronomy 1:44,90
Steinsaltz on Deuteronomy 1:45,92
Steinsaltz on Deuteronomy 1:46,94
Steinsaltz on Deuteronomy 2:1,97
Steinsaltz on Deuteronomy 2:2,99
Steinsaltz on Deuteronomy 2:3,101
Steinsaltz on Deuteronomy 2:4,103
Steinsaltz on Deuteronomy 2:5,105
Steinsaltz on Deuteronomy 2:6,107
Steinsaltz on Deuteronomy 2:7,109
Steinsaltz on Deuteronomy 2:8,111
Steinsaltz on Deuteronomy 2:9,113
Steinsaltz on Deuteronomy 2:10,115
Steinsaltz on Deuteronomy 2:11,117
Steinsaltz on Deuteronomy 2:12,119
Steinsaltz on Deuteronomy 2:13,121
Steinsaltz on Deuteronomy 2:14,123
Steinsaltz on Deuteronomy 2:15,125
Steinsaltz on Deuteronomy 2:16,127
Steinsaltz on Deuteronomy 2:17,129
Steinsaltz on Deuteronomy 2:18,131
Steinsaltz on Deuteronomy 2:19,133
Steinsaltz on Deuteronomy 2:20,135
Steinsaltz on Deuteronomy 2:21,136
Steinsaltz on Deuteronomy 2:22,138
Steinsaltz on Deuteronomy 2:23,140
Steinsaltz on Deuteronomy 2:24,142
Steinsaltz on Deuteronomy 2:25,144
Steinsaltz on Deuteronomy 2:26,146
Steinsaltz on Deuteronomy 2:27,148
Steinsaltz on Deuteronomy 2:28,150
Steinsaltz on Deuteronomy 2:29,152
