ref,line_index
Ibn Ezra HaKatzar on Exodus 1:1:1,4
Ibn Ezra HaKatzar on Exodus 1:7:1,6
Ibn Ezra HaKatzar on Exodus 1:7:2,7
Ibn Ezra HaKatzar on Exodus 1:8:1,9
Ibn Ezra HaKatzar on Exodus 1:10:1,11
Ibn Ezra HaKatzar on Exodus 1:10:2,12
Ibn Ezra HaKatzar on Exodus 1:10:3,13
Ibn Ezra HaKatzar on Exodus 1:11:1,15
Ibn Ezra HaKatzar on Exodus 1:11:2,16
Ibn Ezra HaKatzar on Exodus 1:11:3,17
Ibn Ezra HaKatzar on Exodus 1:11:4,18
Ibn Ezra HaKatzar on Exodus 1:12:1,20
Ibn Ezra HaKatzar on Exodus 1:12:2,21
Ibn Ezra HaKatzar on Exodus 1:13:1,23
Ibn Ezra HaKatzar on Exodus 1:15:1,25
Ibn Ezra HaKatzar on Exodus 1:16:1,27
Ibn Ezra HaKatzar on Exodus 1:19:1,29
Ibn Ezra HaKatzar on Exodus 1:21:1,31
Ibn Ezra HaKatzar on Exodus 1:22:1,33
Ibn Ezra HaKatzar on Exodus 2:1:1,36
Ibn Ezra HaKatzar on Exodus 2:2:1,38
Ibn Ezra HaKatzar on Exodus 2:2:2,39
Ibn Ezra HaKatzar on Exodus 2:2:3,40
Ibn Ezra HaKatzar on Exodus 2:3:1,42
Ibn Ezra HaKatzar on Exodus 2:3:2,43
Ibn Ezra HaKatzar on Exodus 2:3:3,44
Ibn Ezra HaKatzar on Exodus 2:4:1,46
Ibn Ezra HaKatzar on Exodus 2:4:2,47
Ibn Ezra HaKatzar on Exodus 2:5:1,49
Ibn Ezra HaKatzar on Exodus 2:5:2,50
Ibn Ezra HaKatzar on Exodus 2:5:3,51
Ibn Ezra HaKatzar on Exodus 2:6:1,53
Ibn Ezra HaKatzar on Exodus 2:9:1,55
Ibn Ezra HaKatzar on Exodus 2:9:2,56
Ibn Ezra HaKatzar on Exodus 2:9:3,57
Ibn Ezra HaKatzar on Exodus 2:12:1,59
Ibn Ezra HaKatzar on Exodus 2:13:1,61
Ibn Ezra HaKatzar on Exodus 2:13:2,62
Ibn Ezra HaKatzar on Exodus 2:14:1,64
Ibn Ezra HaKatzar on Exodus 2:14:2,65
Ibn Ezra HaKatzar on Exodus 2:15:1,67
